data_source,outcome_clean,transform_label,control_label,model,mean_att,median_att,sd_att,mean_se,bias,rejection_rate,n_sims
NIBRS,agg_18,Raw,None,cs,-0.944510220164563,-1.32491031311646,3.74990182553018,21.1906059557172,-0.944510220164563,0,200
NIBRS,agg_18,Raw,None,imputation,9.74294151686963,9.36254142391774,3.74990182553018,24.9942325303317,9.74294151686963,0,200
NIBRS,agg_18,IHS,None,cs,-0.859183707340013,-1.3412432000562,3.48508955411606,21.1572223553779,-0.859183707340013,0,200
NIBRS,agg_18,IHS,None,imputation,9.82826802969418,9.346208536978,3.48508955411606,24.9998182280994,9.82826802969418,0,200
NIBRS,agg_18,Raw,Econ+Crime,cs,0.784574060970525,0.0783364689972277,3.92939165528777,6.76618929419311,0.784574060970525,0.115,200
NIBRS,agg_18,Raw,Econ+Crime,imputation,-6.47331672981553,-6.93845917468054,16.1976806567202,17.583323925305,-6.47331672981553,0,200
NIBRS,agg_18,IHS,Econ+Crime,cs,0.923039985770128,0.508280418836119,4.10790493630954,6.65674102315506,0.923039985770128,0.17,200
NIBRS,agg_18,IHS,Econ+Crime,imputation,-Inf,-Inf,,17.720126831369,-Inf,0,200
NIBRS,agg_18,Raw,Econ+Crime+DV,cs,-2.8195354082445,-3.68897797706989,6.80043485087304,8.0853027491763,-2.8195354082445,0.02,200
NIBRS,agg_18,Raw,Econ+Crime+DV,imputation,10.7229681805138,9.89224407251256,26.5859188356047,15.3164036074606,10.7229681805138,0.5,200
NIBRS,agg_18,IHS,Econ+Crime+DV,cs,-4.04468594197783,-4.75088056321846,6.76145073587551,8.39287372921585,-4.04468594197783,0.04,200
NIBRS,agg_18,IHS,Econ+Crime+DV,imputation,11.028862798332,9.56265178553546,26.5954992135642,15.3117697224035,11.028862798332,0.5,200
NIBRS,agg_plus_sim_18,Raw,None,cs,-3.98847155736426,-5.75428733206435,13.5811920125837,75.4257431246271,-3.98847155736426,0,200
NIBRS,agg_plus_sim_18,Raw,None,imputation,31.1725155577085,29.4066997830084,13.5811920125837,84.8686718960502,31.1725155577085,0,200
NIBRS,agg_plus_sim_18,IHS,None,cs,-13.2916705666447,-14.2422771741616,14.4527908866571,71.512262934091,-13.2916705666447,0,200
NIBRS,agg_plus_sim_18,IHS,None,imputation,Inf,Inf,,,Inf,,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,cs,1.80539761607755,3.36314166065101,14.7718168905807,29.1524634370915,1.80539761607755,0.04,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime,imputation,-2.17945285741322,-1.33957372270493,80.3791996485108,101.823421514518,-2.17945285741322,0,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,cs,0.225019696650964,0.0191022617203979,16.6986540445155,38.430858582704,0.225019696650964,0.03,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime,imputation,Inf,Inf,,,Inf,,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,cs,-19.2703223627502,-15.8484519433731,30.5816970364051,20.43449768329,-19.2703223627502,0.295,200
NIBRS,agg_plus_sim_18,Raw,Econ+Crime+DV,imputation,43.6122210899867,43.0915354066987,106.206638897121,98.8458614611524,43.6122210899867,0,200
NIBRS,agg_plus_sim_18,IHS,Econ+Crime+DV,cs,-45.7315749172514,-44.5644762344001,17.4772505429477,23.9912295939467,-45.7315749172514,0.58,100
NIBRS,agg_plus_sim_18,IHS,Econ+Crime+DV,imputation,Inf,Inf,,,Inf,,100
NIBRS,aggshare,Raw,None,cs,0.00109740240603195,0.001088032505875,0.00300004972627142,0.0116542831943577,0.00109740240603195,0,200
NIBRS,aggshare,Raw,None,imputation,0.0043827895601561,0.00437341965999915,0.00300004972627142,0.0165969232891841,0.0043827895601561,0,200
NIBRS,aggshare,IHS,None,cs,0.000933577664324207,0.00126878651163331,0.00307417110810243,0.0116803362400261,0.000933577664324207,0,200
