control_label,transform_label,model,mean_power,power_at_20pct,power_at_minus20pct,n_specs
None,Raw,cs,0.427272727272727,0.402857142857143,0.440714285714286,77
None,Raw,imputation,0.38974025974026,0.251428571428571,0.427857142857143,77
None,IHS,cs,0.278181818181818,0.114285714285714,0.128571428571429,77
None,IHS,imputation,,,,77
Econ+Crime,Raw,cs,0.740194805194805,0.735714285714286,0.826428571428571,77
Econ+Crime,Raw,imputation,0.528311688311688,0.521428571428571,0.43,77
Econ+Crime,IHS,cs,0.384220779220779,0.41,0.330714285714286,77
Econ+Crime,IHS,imputation,,,,77
Econ+Crime+DV,Raw,cs,0.735974025974026,0.751428571428571,0.744285714285714,77
Econ+Crime+DV,Raw,imputation,0.568636363636364,0.569285714285714,0.428571428571429,77
Econ+Crime+DV,IHS,cs,0.492142857142857,0.503571428571429,0.440714285714286,77
Econ+Crime+DV,IHS,imputation,,,,77
