control_label,outcome_transformed,model,power,mean_att,sd_att,mean_se,n_outcomes,n_sims
No controls,No,cs,0.427272727272727,-1.222069461798,44.6049351501708,22.5417249239662,7,15400
No controls,No,imputation,0.38974025974026,8.78932027724085,46.0642380990758,25.1712754434046,7,15400
No controls,ihs,cs,0.278181818181818,-3.55636300368865,8.72910070810776,20.8695813349984,7,15400
No controls,ihs,imputation,0.300636363636364,Inf,,5.08661758819098,7,15400
Economic + Crime,No,cs,0.740194805194805,0.827516424243885,68.7524637179089,13.0482962890304,7,15400
Economic + Crime,No,imputation,0.528311688311688,-0.521865601742536,73.7546524757279,29.8311543451397,7,15400
Economic + Crime,ihs,cs,0.384220779220779,0.706666061129825,7.8978291986572,10.5633091922759,7,15400
Economic + Crime,ihs,imputation,0.531414141414142,,,2.03948551307011,7,15400
Econ + Crime + DV policies,No,cs,0.735974025974026,-5.72216707644959,87.4479624061404,9.86815431261376,7,15400
Econ + Crime + DV policies,No,imputation,0.568636363636364,12.5369000261184,86.0745527004706,28.9871710147825,7,15400
Econ + Crime + DV policies,ihs,cs,0.486293706293706,-6.76236473385622,17.1363453448757,5.45444916655483,7,14300
Econ + Crime + DV policies,ihs,imputation,0.597,Inf,,3.1203876487522,7,14300
