outcome_clean,transform_label,control_label,model,0.9,1,1.1
18,IHS,None,cs,0,0,0
18,IHS,None,imputation,0.02,0,0
18,IHS,Econ+Crime,cs,0.265,0.005,0.205
18,IHS,Econ+Crime,imputation,0.105,0,0.395
18,IHS,Econ+Crime+DV,cs,0.18,0.075,0.58
18,IHS,Econ+Crime+DV,imputation,0.5,0.305,0.07
18,Raw,None,cs,0.385,0,0.765
18,Raw,None,imputation,0.51,0,0.005
18,Raw,Econ+Crime,cs,0.5,0.005,0.975
18,Raw,Econ+Crime,imputation,0.695,0,0.5
18,Raw,Econ+Crime+DV,cs,0.495,0.095,0.97
18,Raw,Econ+Crime+DV,imputation,0.975,0.305,0.5
1849,IHS,None,cs,0,0,0
1849,IHS,None,imputation,0,0,0
1849,IHS,Econ+Crime,cs,0.045,0,0.04
1849,IHS,Econ+Crime,imputation,0.005,0.155,0.485
1849,IHS,Econ+Crime+DV,cs,0.085,0.01,0.175
1849,IHS,Econ+Crime+DV,imputation,0.435,0.04,0.3
1849,Raw,None,cs,0.35,0,0.255
1849,Raw,None,imputation,0.375,0,0.005
1849,Raw,Econ+Crime,cs,0.48,0,0.79
1849,Raw,Econ+Crime,imputation,0.3,0.185,0.5
1849,Raw,Econ+Crime+DV,cs,0.5,0.01,0.885
1849,Raw,Econ+Crime+DV,imputation,0.655,0.075,0.5
agg_18,IHS,None,cs,0,0,0
agg_18,IHS,None,imputation,0,0,0
agg_18,IHS,Econ+Crime,cs,0.1,0.17,0.12
agg_18,IHS,Econ+Crime,imputation,0,0,0
agg_18,IHS,Econ+Crime+DV,cs,0.03,0.04,0.05
agg_18,IHS,Econ+Crime+DV,imputation,0.5,0.5,0.5
agg_18,Raw,None,cs,0,0,0
agg_18,Raw,None,imputation,0,0,0
agg_18,Raw,Econ+Crime,cs,0.005,0.115,0.46
agg_18,Raw,Econ+Crime,imputation,0,0,0
agg_18,Raw,Econ+Crime+DV,cs,0.185,0.02,0.085
agg_18,Raw,Econ+Crime+DV,imputation,0.13,0.5,0.5
agg_plus_sim_18,IHS,None,cs,0,0,0
agg_plus_sim_18,IHS,None,imputation,,,
agg_plus_sim_18,IHS,Econ+Crime,cs,0.035,0.03,0.015
agg_plus_sim_18,IHS,Econ+Crime,imputation,,,
agg_plus_sim_18,IHS,Econ+Crime+DV,cs,0.55,0.58,0.58
agg_plus_sim_18,IHS,Econ+Crime+DV,imputation,,,
agg_plus_sim_18,Raw,None,cs,0,0,0
agg_plus_sim_18,Raw,None,imputation,0,0,0
agg_plus_sim_18,Raw,Econ+Crime,cs,0.17,0.04,0.49
agg_plus_sim_18,Raw,Econ+Crime,imputation,0,0,0
agg_plus_sim_18,Raw,Econ+Crime+DV,cs,0.895,0.295,0.46
agg_plus_sim_18,Raw,Econ+Crime+DV,imputation,0,0,0.33
aggshare,IHS,None,cs,0,0,0
aggshare,IHS,None,imputation,0,0,0
aggshare,IHS,Econ+Crime,cs,0.235,0,0.51
aggshare,IHS,Econ+Crime,imputation,0,0.44,0.58
aggshare,IHS,Econ+Crime+DV,cs,0.365,0.115,0.555
aggshare,IHS,Econ+Crime+DV,imputation,0.04,1,1
aggshare,Raw,None,cs,0,0,0
aggshare,Raw,None,imputation,0,0,0
aggshare,Raw,Econ+Crime,cs,0.275,0,0.49
aggshare,Raw,Econ+Crime,imputation,0,0.405,0.505
aggshare,Raw,Econ+Crime+DV,cs,0.36,0.15,0.515
aggshare,Raw,Econ+Crime+DV,imputation,0.045,0.99,1
dv_1849,IHS,None,cs,0.005,0,0.005
dv_1849,IHS,None,imputation,0.025,0,0
dv_1849,IHS,Econ+Crime,cs,0.03,0.015,0.155
dv_1849,IHS,Econ+Crime,imputation,0.135,0,0.02
dv_1849,IHS,Econ+Crime+DV,cs,0.175,0.01,0.025
dv_1849,IHS,Econ+Crime+DV,imputation,0.77,0.15,0.005
dv_1849,Raw,None,cs,0.155,0,0.185
dv_1849,Raw,None,imputation,0.29,0,0
dv_1849,Raw,Econ+Crime,cs,0.275,0.005,0.41
dv_1849,Raw,Econ+Crime,imputation,0.465,0.005,0.185
dv_1849,Raw,Econ+Crime+DV,cs,0.415,0.005,0.21
dv_1849,Raw,Econ+Crime+DV,imputation,0.99,0.11,0.005
sim_18,IHS,None,cs,0,0,0
sim_18,IHS,None,imputation,,,
sim_18,IHS,Econ+Crime,cs,0,0,0
sim_18,IHS,Econ+Crime,imputation,,,
sim_18,IHS,Econ+Crime+DV,cs,0.315,0.345,0.33
sim_18,IHS,Econ+Crime+DV,imputation,,,
sim_18,Raw,None,cs,0,0,0
sim_18,Raw,None,imputation,0,0,0
sim_18,Raw,Econ+Crime,cs,0.255,0.015,0.47
sim_18,Raw,Econ+Crime,imputation,0,0,0
sim_18,Raw,Econ+Crime+DV,cs,0.985,0.275,0.505
sim_18,Raw,Econ+Crime+DV,imputation,0,0,0
