data_source,outcome_clean,transform_label,control_label,model,percent_effect,effect_pct,power,mean_att,mean_se,n_sims
NIBRS,agg_18,Raw,None,cs,0.5,-50,0,-11.7907954701476,21.2530384509257,200
NIBRS,agg_18,Raw,None,imputation,0.5,-50,0,-1.10334373311342,25.2184528035857,200
NIBRS,agg_18,Raw,None,cs,0.6,-40,0,-9.55412191348774,21.2889893056274,200
NIBRS,agg_18,Raw,None,imputation,0.6,-40,0,1.13332982354646,25.1353826640529,200
NIBRS,agg_18,Raw,None,cs,0.7,-30,0,-7.28046649570071,21.2518930183813,200
NIBRS,agg_18,Raw,None,imputation,0.7,-30,0,3.40698524133349,25.0583714842913,200
NIBRS,agg_18,Raw,None,cs,0.8,-20,0,-5.16647119652992,21.3189761714248,200
NIBRS,agg_18,Raw,None,imputation,0.8,-20,0,5.52098054050428,25.0173131877565,200
NIBRS,agg_18,Raw,None,cs,0.9,-10,0,-2.91931585950865,21.1827379908649,200
NIBRS,agg_18,Raw,None,imputation,0.9,-10,0,7.76813587752555,24.9950936437406,200
NIBRS,agg_18,Raw,None,cs,1,0,0,-0.944510220164563,21.1906059557172,200
NIBRS,agg_18,Raw,None,imputation,1,0,0,9.74294151686963,24.9942325303317,200
NIBRS,agg_18,Raw,None,cs,1.1,10,0,1.30947419690637,21.2148440299672,200
NIBRS,agg_18,Raw,None,imputation,1.1,10,0,11.9969259339406,25.0208674970681,200
NIBRS,agg_18,Raw,None,cs,1.2,20,0,2.79229032666064,21.204028781286,200
NIBRS,agg_18,Raw,None,imputation,1.2,20,0,13.4797420636948,25.0684699851241,200
NIBRS,agg_18,Raw,None,cs,1.3,30,0,5.55266422788907,21.3162819398629,200
NIBRS,agg_18,Raw,None,imputation,1.3,30,0,16.2401159649233,25.1436092873375,200
NIBRS,agg_18,Raw,None,cs,1.4,40,0,8.09137563666813,21.2864354046454,200
NIBRS,agg_18,Raw,None,imputation,1.4,40,0,18.7788273737023,25.2409631336516,200
NIBRS,agg_18,Raw,None,cs,1.5,50,0,10.4906587349417,21.4712400794539,200
NIBRS,agg_18,Raw,None,imputation,1.5,50,0,21.1781104719759,25.4417801884442,200
NIBRS,agg_18,IHS,None,cs,0.5,-50,0,-1.49062947360823,21.2105935516404,200
NIBRS,agg_18,IHS,None,imputation,0.5,-50,0,9.19682226342597,24.9917245415561,200
NIBRS,agg_18,IHS,None,cs,0.6,-40,0,-1.31695693181577,21.2347416225325,200
NIBRS,agg_18,IHS,None,imputation,0.6,-40,0,9.37049480521843,24.9905221645388,200
NIBRS,agg_18,IHS,None,cs,0.7,-30,0,-1.65389072769001,21.2528787053023,200
NIBRS,agg_18,IHS,None,imputation,0.7,-30,0,9.03356100934419,24.998370717555,200
NIBRS,agg_18,IHS,None,cs,0.8,-20,0,-1.01120544889789,21.2401194592126,200
NIBRS,agg_18,IHS,None,imputation,0.8,-20,0,9.67624628813631,24.9946463129827,200
