outcome_transformed,control_label,outcome,model,avg_power,mean_att,mean_se,n_sims
No,No controls,y_nibrs_female_agg_18,cs,0,-0.856292548406662,21.2708246480142,2200
No,No controls,y_nibrs_female_agg_18,imputation,0,9.83115918862753,25.1213214913986,2200
No,No controls,y_nibrs_female_agg_plus_sim_18,cs,0.00545454545454546,-4.44390308124008,78.0510233973621,2200
No,No controls,y_nibrs_female_agg_plus_sim_18,imputation,0.0254545454545455,30.7170840338327,87.4971562930098,2200
No,No controls,y_nibrs_female_aggshare,cs,0.581818181818182,0.00114983082798495,0.012410359917643,2200
No,No controls,y_nibrs_female_aggshare,imputation,0.428181818181818,0.0044352179821091,0.0166878325650129,2200
No,No controls,y_nibrs_female_sim_18,cs,0.085,-3.31426051432962,58.0641358932846,2200
No,No controls,y_nibrs_female_sim_18,imputation,0.101818181818182,21.1592762040012,63.1277586719941,2200
No,No controls,y_shr_female_18,cs,0.828181818181818,0.0627360047133019,0.121313622912766,2200
No,No controls,y_shr_female_18,imputation,0.733181818181818,-0.0725843651816922,0.141901981328244,2200
No,No controls,y_shr_female_1849,cs,0.782272727272727,0.0189003425338664,0.176989264127078,2200
No,No controls,y_shr_female_1849,imputation,0.754090909090909,-0.0674857219913594,0.187967990876684,2200
No,No controls,y_shr_female_dv_1849,cs,0.708181818181818,-0.0228162666847911,0.0953772821447012,2200
No,No controls,y_shr_female_dv_1849,imputation,0.685454545454545,-0.046642616584546,0.106133842659592,2200
No,Economic + Crime,y_nibrs_female_agg_18,cs,0.503636363636364,0.820690422289411,8.36608546367767,2200
No,Economic + Crime,y_nibrs_female_agg_18,imputation,0.174545454545455,-6.48227270663135,17.7862298401024,2200
No,Economic + Crime,y_nibrs_female_agg_plus_sim_18,cs,0.706818181818182,2.84668156931277,44.9155873436145,2200
No,Economic + Crime,y_nibrs_female_agg_plus_sim_18,imputation,0.215454545454545,-1.87313231266867,103.539104852892,2200
No,Economic + Crime,y_nibrs_female_aggshare,cs,0.781818181818182,0.00187105736860907,0.00875040438728361,2200
No,Economic + Crime,y_nibrs_female_aggshare,imputation,0.669090909090909,0.011961281705916,0.00934418759215833,2200
No,Economic + Crime,y_nibrs_female_sim_18,cs,0.734090909090909,1.99080229095914,37.7065966582857,2200
No,Economic + Crime,y_nibrs_female_sim_18,imputation,0.22,4.63271417266596,87.1707157994085,2200
No,Economic + Crime,y_shr_female_18,cs,0.859090909090909,0.0686598959864519,0.10544535681926,2200
No,Economic + Crime,y_shr_female_18,imputation,0.82,-0.0160324430672715,0.10106283621741,2200
No,Economic + Crime,y_shr_female_1849,cs,0.842272727272727,0.0703086562757685,0.14978167532144,2200
No,Economic + Crime,y_shr_female_1849,imputation,0.816818181818182,0.0770302376162645,0.13537745527717,2200
No,Economic + Crime,y_shr_female_dv_1849,cs,0.753636363636364,-0.00639892248495976,0.0858271211067779,2200
No,Economic + Crime,y_shr_female_dv_1849,imputation,0.782272727272727,-0.00332744181859266,0.0762454444883794,2200
No,Econ + Crime + DV policies,y_nibrs_female_agg_18,cs,0.347272727272727,-3.49568912189824,12.3368774573319,2200
No,Econ + Crime + DV policies,y_nibrs_female_agg_18,imputation,0.376818181818182,10.7798232666267,15.5376441426014,2200
No,Econ + Crime + DV policies,y_nibrs_female_agg_plus_sim_18,cs,0.821363636363637,-19.4722725262053,32.9257976484086,2200
No,Econ + Crime + DV policies,y_nibrs_female_agg_plus_sim_18,imputation,0.302727272727273,43.882983136593,100.473180737386,2200
No,Econ + Crime + DV policies,y_nibrs_female_aggshare,cs,0.729090909090909,0.00282154403419518,0.0120808472779504,2200
No,Econ + Crime + DV policies,y_nibrs_female_aggshare,imputation,0.729090909090909,0.0240220761087071,0.0092013716804618,2200
No,Econ + Crime + DV policies,y_nibrs_female_sim_18,cs,0.848181818181818,-17.3177061662304,23.4636568913685,2200
No,Econ + Crime + DV policies,y_nibrs_female_sim_18,imputation,0.272727272727273,33.3685234887478,86.562408397507,2200
No,Econ + Crime + DV policies,y_shr_female_18,cs,0.832727272727273,0.108287453634196,0.106371544517041,2200
No,Econ + Crime + DV policies,y_shr_female_18,imputation,0.829090909090909,-0.103135004288459,0.102875168757082,2200
No,Econ + Crime + DV policies,y_shr_female_1849,cs,0.832727272727273,0.100052097664949,0.14621273379157,2200
No,Econ + Crime + DV policies,y_shr_female_1849,imputation,0.773181818181818,-0.0815825996359309,0.141323337268415,2200
No,Econ + Crime + DV policies,y_shr_female_dv_1849,cs,0.740454545454545,0.0193371838534799,0.0860830656008306,2200
No,Econ + Crime + DV policies,y_shr_female_dv_1849,imputation,0.696818181818182,-0.112334181322716,0.0835639482772856,2200
ihs,No controls,y_nibrs_female_agg_18,cs,0,-1.09386704273663,21.2180306623722,2200
ihs,No controls,y_nibrs_female_agg_18,imputation,0,9.59358469429757,24.9958510703956,2200
ihs,No controls,y_nibrs_female_agg_plus_sim_18,cs,0,-13.7049284856854,71.5696720950719,2200
ihs,No controls,y_nibrs_female_agg_plus_sim_18,imputation,,Inf,,2200
ihs,No controls,y_nibrs_female_aggshare,cs,0.563636363636364,0.000882515986079343,0.0124227749150117,2200
ihs,No controls,y_nibrs_female_aggshare,imputation,0.424545454545455,0.00416790314020349,0.0166926460738999,2200
ihs,No controls,y_nibrs_female_sim_18,cs,0,-10.0471146228514,52.9194043838937,2200
ihs,No controls,y_nibrs_female_sim_18,imputation,,Inf,,2200
ihs,No controls,y_shr_female_18,cs,0.561818181818182,0.0238347820674239,0.111253676601536,2200
ihs,No controls,y_shr_female_18,imputation,0.399090909090909,-0.11148558782757,0.136384030246575,2200
ihs,No controls,y_shr_female_1849,cs,0.328636363636364,-0.0243023216163849,0.165171602150429,2200
ihs,No controls,y_shr_female_1849,imputation,0.260454545454545,-0.110688386141611,0.180758111322465,2200
ihs,No controls,y_shr_female_dv_1849,cs,0.493181818181818,-0.0490458509842816,0.091114149984183,2200
ihs,No controls,y_shr_female_dv_1849,imputation,0.419090909090909,-0.0728722008840365,0.103402082916288,2200
ihs,Economic + Crime,y_nibrs_female_agg_18,cs,0.145909090909091,0.796991810276813,6.70091304171472,2200
ihs,Economic + Crime,y_nibrs_female_agg_18,imputation,0,-Inf,17.746252301619,2200
ihs,Economic + Crime,y_nibrs_female_agg_plus_sim_18,cs,0.0277272727272727,2.45002238991945,38.089605385234,2200
ihs,Economic + Crime,y_nibrs_female_agg_plus_sim_18,imputation,,Inf,,2200
ihs,Economic + Crime,y_nibrs_female_aggshare,cs,0.783636363636364,0.00177082743487225,0.00858325388146771,2200
ihs,Economic + Crime,y_nibrs_female_aggshare,imputation,0.724090909090909,0.0118263458110648,0.00929030986388265,2200
ihs,Economic + Crime,y_nibrs_female_sim_18,cs,0.000909090909090909,1.67518977826989,28.834496453737,2200
ihs,Economic + Crime,y_nibrs_female_sim_18,imputation,,Inf,,2200
ihs,Economic + Crime,y_shr_female_18,cs,0.660454545454545,0.0281776733707614,0.0933531342867533,2200
ihs,Economic + Crime,y_shr_female_18,imputation,0.572272727272727,-0.0559754383990028,0.0948010311520045,2200
ihs,Economic + Crime,y_shr_female_1849,cs,0.498181818181818,0.0264909093702444,0.135691595950909,2200
ihs,Economic + Crime,y_shr_female_1849,imputation,0.489090909090909,0.0327337926778879,0.12754912613052,2200
ihs,Economic + Crime,y_shr_female_dv_1849,cs,0.572727272727273,-0.0319809607332493,0.080521481126498,2200
ihs,Economic + Crime,y_shr_female_dv_1849,imputation,0.605909090909091,-0.028884039635019,0.0729181908595682,2200
ihs,Econ + Crime + DV policies,y_nibrs_female_agg_18,cs,0.0481818181818182,-3.62642583151601,8.28066905518826,2200
ihs,Econ + Crime + DV policies,y_nibrs_female_agg_18,imputation,0.5,10.8066861763202,15.282813172312,2200
ihs,Econ + Crime + DV policies,y_nibrs_female_agg_plus_sim_18,cs,0.568181818181818,-47.4556814908358,24.6806070851933,1100
ihs,Econ + Crime + DV policies,y_nibrs_female_agg_plus_sim_18,imputation,,Inf,,1100
ihs,Econ + Crime + DV policies,y_nibrs_female_aggshare,cs,0.727272727272727,0.00280674598744067,0.0116751145060075,2200
